Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
DDD,3D Systems Corporation,7.25,900029028.8,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd
MMM,3M Company,169.21,97604029976,n/a,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mmm
WBAI,500.com Limited,2.8888,124222701.4,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/wbai
EGHT,8x8 Inc,18.85,2004159106,n/a,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
AHC,A.H. Belo Corporation,1.51,32329738.73,n/a,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc
AOS,A.O Smith Corporation,54.82,8851662932,n/a,n/a,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/aos
ATEN,"A10 Networks, Inc.",7.62,584518503.3,n/a,2014,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/aten
AIR,AAR Corp.,24.04,848631736.8,n/a,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/air
AAN,"Aarons Holdings Company, Inc.",59.86,4019033862,n/a,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan
ABB,ABB Ltd,27.03,55649068103,n/a,n/a,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,112.65,2.00E+11,n/a,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,98.15,1.73E+11,n/a,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,18.07,1127083272,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/anf
AGD,Aberdeen Global Dynamic Dividend Fund,9.54,119723012.3,n/a,2006,n/a,n/a,https://old.nasdaq.com/symbol/agd
,,,,,,,,
,,,,,,,,
AWP,Aberdeen Global Premier Properties Fund,5.02,428747914,n/a,2007,n/a,n/a,https://old.nasdaq.com/symbol/awp
ACP,Aberdeen Income Credit Strategies Fund,9.93,173100713.3,n/a,2011,n/a,n/a,https://old.nasdaq.com/symbol/acp
JEQ,"Aberdeen Japan Equity Fund, Inc. ",8.76,117458775.4,n/a,1992,n/a,n/a,https://old.nasdaq.com/symbol/jeq
ASGI,Aberdeen Standard Global Infrastructure Income Fund,17.11,0,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/asgi
,,,,,,,,
AOD,Aberdeen Total Dynamic Dividend Fund,8.21,865588501.8,n/a,2007,n/a,n/a,https://old.nasdaq.com/symbol/aod
ABM,ABM Industries Incorporated,39,2600797017,n/a,n/a,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm
