Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
DDD,3D Systems Corporation,7.25,900029028.8,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd
MMM,3M Company,169.21,97604029976.0,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mmm
WBAI,500.com Limited,2.8888,124222701.4,,2013.0,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/wbai
EGHT,8x8 Inc,18.85,2004159106.0,,,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
AHC,A.H. Belo Corporation,1.51,32329738.73,,,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc
AOS,A.O Smith Corporation,54.82,8851662932.0,,,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/aos
ATEN,"A10 Networks, Inc.",7.62,584518503.3,,2014.0,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/aten
AIR,AAR Corp.,24.04,848631736.8,,,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/air
AAN,"Aarons Holdings Company, Inc.",59.86,4019033862.0,,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan
ABB,ABB Ltd,27.03,55649068103.0,,,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,112.65,200000000000.0,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,98.15,173000000000.0,,2012.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,18.07,1127083272.0,,,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/anf
ABM,ABM Industries Incorporated,39.0,2600797017.0,,,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,13.23,1141327003.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/akr
ACEL,"Accel Entertainment, Inc.",11.0,1063525210.0,,2017.0,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel
ACN,Accenture plc,242.75,154000000000.0,,2001.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,6.73,635963713.0,,,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco
ATV,"Acorn International, Inc.",20.51,52935489.6,,2007.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/atv
AYI,"Acuity Brands, Inc. ",102.59,3839103796.0,,,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,37.54,2789015793.0,,2016.0,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/golf
ADCT,ADC Therapeutics SA,34.67,2659738589.0,,2020.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adct
AGRO,Adecoagro S.A.,5.06,596226605.7,,2011.0,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/agro
ADNT,Adient plc,27.3,2563043601.0,,2016.0,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt
ADT,ADT Inc.,7.56,6240464189.0,,2018.0,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/adt
ATGE,Adtalem Global Education Inc.,27.94,1455433241.0,,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/atge
AAP,Advance Auto Parts Inc,156.52,10821599185.0,,,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aap
WMS,"Advanced Drainage Systems, Inc.",65.54,4619047768.0,,2014.0,Capital Goods,Containers/Packaging,https://old.nasdaq.com/symbol/wms
ASIX,AdvanSix Inc.,16.79,470628250.1,,2016.0,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/asix
ACM,AECOM,47.37,7597615040.0,,2007.0,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/acm
AEFC,Aegon Funding Company LLC,26.55,0.0,,2019.0,Finance,Life Insurance,https://old.nasdaq.com/symbol/aefc
AEB,Aegon NV,25.04,0.0,,,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeb
AEG,Aegon NV,3.31,6714399131.0,,,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeg
AER,Aercap Holdings N.V.,35.05,4545031044.0,,2006.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aer
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",35.4,2704560000.0,,,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/ajrd
AMG,"Affiliated Managers Group, Inc.",85.08,3859318900.0,,,Finance,Investment Managers,https://old.nasdaq.com/symbol/amg
MGR,"Affiliated Managers Group, Inc.",27.61,0.0,,2019.0,Finance,Investment Managers,https://old.nasdaq.com/symbol/mgr
MGRB,"Affiliated Managers Group, Inc.",26.06,0.0,,2020.0,Finance,Investment Managers,https://old.nasdaq.com/symbol/mgrb
AFL,Aflac Incorporated,40.88,28715961616.0,,,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/afl
AGCO,AGCO Corporation,88.22,6607364466.0,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/agco
A,"Agilent Technologies, Inc.",109.41,33732157165.0,,1999.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/a
AEM,Agnico Eagle Mines Limited,73.03,17698848178.0,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,66.54,3684354734.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/adc
AL,Air Lease Corporation,34.64,3941301304.0,,2011.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/al
APD,"Air Products and Chemicals, Inc.",280.84,62035976556.0,,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/apd
ALG,"Alamo Group, Inc.",137.28,1630796482.0,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,8.87,3483228333.0,,2015.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/agi
ALK,"Alaska Air Group, Inc.",44.34,5483251917.0,,,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/alk
AIN,Albany International Corporation,63.43,2048789000.0,,,Basic Industries,Textiles,https://old.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,118.57,12622629374.0,,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/alb
ACI,"Albertsons Companies, Inc.",14.98,7080339169.0,,2020.0,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/aci
AA,Alcoa Corporation,15.89,2954421122.0,,2016.0,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/aa
